"AGGG", "Honiara ACC",  "Solomon Islands"
"LSAS", "Switzerland ACC",  "Switzerland"
"LSAZ", "Zurich ACC",  "Switzerland"
"LTAA", "Ankara ACC",  "Turkey"
"LTBB", "Istanbul ACC",  "Turkey"
"LUUU", "Chisinau ACC",  "Moldova"
"LWSS", "Skopje ACC",  "Macedonia"
"LYBA", "Beograd ACC",  "Serbia"
"LZBB", "Bratislava ACC",  "Slovakia"
"MDCS", "Santo Domingo ACC",  "Dominican Republic"
"MHTG", "Central American ACC",  "Honduras"
"MKJK", "Kingston ACC",  "Jamaica"
"MMEX", "Mexico ACC",  "Mexico"
"MMFO", "Mazatlan Oceanic ACC",  "Mexico"
"MMFR", "Mexico ACC",  "Mexico"
"MMID", "Merida ACC",  "Mexico"
"MMTY", "Monterrey ACC/UIR",  "Mexico"
"MMZT", "Mazatlan ACC/UIR",  "Mexico"
"MPZL", "Panama ACC",  "Panama"
"MTEG", "Port-Au-Prince ACC",  "Haiti"
"MUFH", "Habana ACC",  "Cuba"
"MYNA", "Nassau ACC",  "Bahamas"
"NFFF", "Nadi ACC",  "Fiji"
"NTTT", "Tahiti ACC",  "French Polynesia"
"NWWX", "Noumea ACC",  "New Caledonia"
"NZZC", "New Zealand ACC",  "New Zealand"
"NZZO", "Auckland Oceanic ACC",  "New Zealand"
"OAKX", "Kabul ACC",  "Afghanistan"
"OBBB", "Bahrain ACC",  "Bahrain"
"OEJD", "Jeddah ACC",  "Saudi Arabia"
"OIIX", "Tehran ACC",  "Iran"
"OJAC", "Amman ACC",  "Jordan"
"OKAC", "Kuwait ACC",  "Kuwait"
"OLBB", "Beirut ACC",  "Lebanon"
"OMAE", "Emirates ACC",  "United Arab Emirates"
"OOMM", "Muscat ACC",  "Oman"
"OPKR", "Karachi ACC",  "Pakistan"
"OPLR", "Lahore ACC",  "Pakistan"
"ORBB", "Baghdad ACC",  "Iraq"
"ORMM", "ORMM FIR",  "Iraq"
"OSTT", "Damascus ACC",  "Syria"
"OYSC", "Sanaa ACC",  "Yemen"
"PAZA", "Anchorage ACC",  "USA"
"PAZN", "Anchorage Oceanic ACC",  "USA"
"PHZH", "Honolulu ACC",  "USA"
"RCAA", "Taipei ACC",  "Republic of China"
"RJJJ", "Fukuoka ACC",  "Japan"
"RKRR", "Incheon ACC",  "South Korea"
"RPHI", "Manila ACC",  "Philippines"
"SACF", "Cordoba ACC",  "Argentina"
"SACU", "Cordoba UIR",  "Argentina"
"SAEF", "Ezeiza ACC",  "Argentina"
"SAEU", "Ezeiza UIR",  "Argentina"
"SAMF", "Mendoza ACC",  "Argentina"
"SAMV", "Mendoza UIR",  "Argentina"
"SARR", "Resistencia ACC",  "Argentina"
"SAVF", "Comodoro Rivadavia ACC",  "Argentina"
"SAVU", "Comodoro Rivadavia UIR",  "Argentina"
"SBAO", "Atlantico ACC",  "Brazil"
"SBAZ", "Amazonica ACC",  "Brazil"
"SBBS", "Brasilia ACC",  "Brazil"
"SBCW", "Curitiba ACC",  "Brazil"
"SBRE", "Recife ACC",  "Brazil"
"SCCZ", "Punta Arenas ACC",  "Chile"
"SCEZ", "Santiago ACC",  "Chile"
"SCFZ", "Antofagasta ACC",  "Chile"
"SCIZ", "Easter I. ACC",  "Chile"
"SCTZ", "Puerto Montt ACC",  "Chile"
"SEFG", "Guayaquil ACC",  "Ecuador"
"SGFA", "Asuncion ACC",  "Paraguay"
"SKEC", "Barranquilla ACC",  "Colombia"
"SKED", "Bogota ACC",  "Colombia"
"SLLF", "La Paz ACC",  "Bolivia"
"SMPM", "Paramaribo ACC",  "Suriname"
"SOOO", "Rochambeau ACC",  "French Guiana"
"SPIM", "Lima ACC",  "Peru"
"SUEO", "Montevideo ACC",  "Uruguay"
"SVZM", "Maiquetia ACC",  "Venezuela"
"SYGC", "Georgetown ACC",  "Guyana"
"TJZS", "San Juan ACC",  "USA"
"TNCF", "Curacao ACC",  "Netherlands Antilles"
"TTZP", "Piarco ACC",  "Trinidad and Tobago"
"UAAX", "Almaty ACC",  "Kazakhstan"
"UACX", "Astana ACC",  "Kazakhstan"
"UAFX", "Bishkek ACC",  "Kyrgyzstan"
"UASS", "Semipalatinsk ACC",  "Kazakhstan"
"UDDD", "Yerevan ACC",  "Armenia"
"UEMH", "Tyoply Klyuch ACC",  "Russia"
"UENN", "Nyurba ACC",  "Russia"
"UESS", "Chersky ACC",  "Russia"
"UESU", "Zyryanka ACC",  "Russia"
"UEVV", "Gigansk ACC",  "Russia"
"UGEE", "Yerevan/Zvartnots ACC",  "Russia"
"UGGG", "Tbilisi ACC",  "Georgia"
"UHBI", "Magdagachi ACC",  "Russia"
"UHMI", "Mys Shmidta ACC",  "Russia"
"UHMP", "Pevek ACC",  "Russia"
"UHNN", "Nikolayevsk-na-Amure ACC",  "Russia"
"UHPT", "Tilichiki ACC",  "Russia"
"UHPU", "Ust-Khairyozovo ACC",  "Russia"
"UHSH", "Okha ACC",  "Russia"
"UIKB", "Bodaybo ACC",  "Russia"
"UIKK", "Kirensk ACC",  "Russia"
"UKBV", "Kyiv ACC",  "Ukraine"
"UKCV", "Donetsk ACC",  "Ukraine"
"UKDV", "Dnepropetrovsk ACC",  "Ukraine"
"UKFV", "Simferopol ACC",  "Ukraine"
"UKHV", "Kharkiv ACC",  "Ukraine"
"UKLV", "Lviv ACC",  "Ukraine"
"UKOV", "Odesa ACC",  "Ukraine"
"ULLL", "Sankt Peterburg ACC",  "Russia"
"ULOL", "Velikiye Luki ACC",  "Russia"
"UMKD", "Kazan ACC",  "Russia"
"UMMV", "Minsk ACC",  "Belarus"
"UNLL", "Kolpashevo ACC",  "Russia"
"UOTT", "Turukhansk ACC",  "Russia"
"URRV", "Rostov-Na-Donu ACC",  "Russia"
"USDK", "Mys Kamenny ACC",  "Russia"
"USHB", "Beryozovo ACC",  "Russia"
"USHH", "Khanty-Mansiysk ACC",  "Russia"
"UTAK", "Turkmenbashi ACC",  "Turkmenistan"
"UTNR", "Nukus ACC",  "Uzbekistan"
"UTSD", "Samarkand ACC",  "Uzbekistan"
"UTTR", "Tashkent ACC",  "Uzbekistan"
"UUWV", "Moscow ACC",  "Russia"
"UUYW", "Vorkuta ACC",  "Russia"
"UUYY", "Syktyvkar ACC",  "Russia"
"UWOO", "Orenburg/Tsentralny ACC",  "Russia"
"VABF", "Mumbai ACC",  "India"
"VCCC", "Colombo ACC",  "Sri Lanka"
"VECF", "Kolkata ACC",  "India"
"VGFR", "Dhaka ACC",  "Bangladesh"
"VHHK", "Hong Kong ACC",  "Hong Kong"
"VIDF", "Delhi ACC",  "India"
"VLIV", "Vientiane ACC",  "Laos"
"VLVT", "Vientiane ACC",  "Laos"
"VNSM", "Kathmandu ACC",  "Nepal"
"VOMF", "Chennai ACC",  "India"
"VRMF", "Male ACC",  "Maldives"
"VTBB", "Bangkok ACC",  "Thailand"
"VVTS", "Ho-Chi-Minh ACC",  "Vietnam"
"VVVV", "Hanoi ACC",  "Vietnam"
"VYMD", "", Myanmar"
"VYYF", "Yangon ACC",  "Myanmar"
"WAAF", "Ujung Pandang",  "Indonesia"
"WAAZ", "Ujung Pandang ACC",  "Indonesia"
"WABZ", "Biak Sector",  "Indonesia"
"WADZ", "Bali Sector",  "Indonesia"
"WAJZ", "", Indonesia"
"WAKZ", "Merauke Sector",  "Indonesia"
"WALZ", "Balikpapan Sector",  "Indonesia"
"WAMZ", "Manado Sector",  "Indonesia"
"WAOZ", "Banjarmasin Sector",  "Indonesia"
"WAPZ", "Ambon Sector",  "Indonesia"
"WATZ", "Kupang Sector",  "Indonesia"
"WBFC", "Kota Kinabalu ACC",  "Brunei / Malaysia"
"WIIF", "Jakarta",  "Indonesia"
"WIIZ", "Jakarta ACC",  "Indonesia"
"WIMZ", "Medan Sector",  "Indonesia"
"WIOZ", "Pontianak Sector",  "Indonesia"
"WIPZ", "Palembang Sector",  "Indonesia"
"WMFC", "Kuala Lumpur ACC",  "Malaysia"
"WSJC", "Singapore ACC",  "Singapore"
"YBBB", "Brisbane ACC",  "Australia"
"YMMM", "Melbourne ACC",  "Australia"
"ZBPE", "Beijing ACC",  "China"
"ZGJD", "Zhuhai ACC",  "China"
"ZGZU", "Guangzhou ACC",  "China"
"ZHWH", "Wuhan ACC",  "China"
"ZJSA", "Sanya ACC",  "China"
"ZKKP", "Pyongyang ACC",  "North Korea"
"ZLHW", "Lanzhou ACC",  "China"
"ZMUB", "Ulan Bator ACC",  "Mongolia"
"ZPKM", "Kunming ACC",  "China"
"ZSHA", "Shanghai ACC",  "China"
"ZWUQ", "Urumqi ACC",  "China"
"ZYSH", "Shenyang ACC",  "China"
