[74,'Jaipur International Airport','Jaipur','VIJP',26.82419968,75.81220245],
[75,'Jaisalmer Airport','Jaisalmer','VIJR',26.88870049,70.86499786],
[76,'Jammu Airport','Jammu','VIJU',32.68909836,74.83740234],
[77,'Kanpur Airport','Kanpur','VIKA',26.44140053,80.36489868],
[78,'Kota Airport','Kota','VIKO',25.16020012,75.84559631],
[79,'Ludhiana Airport','Ludhiaha','VILD',30.85470009,75.95259857],
[80,'Leh Kushok Bakula Rimpochee Airport','Leh','VILH',34.13589859,77.54650116],
[81,'Chaudhary Charan Singh International Airport','Lucknow','VILK',26.76059914,80.88929749],
[82,'Patiala Airport','Patiala','VIPL',30.31480026,76.36450195],
[83,'Pantnagar Airport','Nainital','VIPT',29.03339958,79.47370148],
[84,'Fursatganj Airport','Raibarelli','VIRB',26.24850082,81.38050079],
[85,'Sheikh ul Alam Airport','Srinagar','VISR',33.98709869,74.77420044],
[86,'Satna Airport','Satna','VIST',24.56229973,80.85489655],
[87,'Agatti Airport','Agatti Island','VOAT',10.82369995,72.1760025],
[88,'Kempegowda International Airport','Bangalore','VOBL',13.1979,77.706299],
[89,'Bellary Airport','Bellary','VOBI',15.16279984,76.88279724],
[90,'Vijayawada Airport','Vijayawada','VOBZ',16.53039932,80.79679871],
[91,'Coimbatore International Airport','Coimbatore','VOCB',11.02999973,77.04340363],
[92,'Cochin International Airport','Kochi','VOCI',10.15200043,76.40190125],
[93,'Calicut International Airport','Calicut','VOCL',11.13679981,75.95529938],
[94,'Cuddapah Airport','Cuddapah','VOCP',14.51000023,78.77279663],
[95,'Dundigul Air Force Academy','Dundigul','VODG',17.62719917,78.40339661],
[96,'Begumpet Airport','Hyderabad','VOHY',17.4531002,78.46759796],
[97,'Madurai Airport','Madurai','VOMD',9.83450985,78.09339905],
[98,'Mangalore International Airport','Mangalore','VOML',12.9612999,74.89009857],
[99,'Chennai International Airport','Madras','VOMM',12.99000549,80.16929626],
[100,'Nagarjuna Sagar Airport','Nagarjunsagar','VONS',16.54269981,79.3187027],
[101,'Vir Savarkar International Airport','Port Blair','VOPB',11.64120007,92.72969818],
[102,'Pondicherry Airport','Pendicherry','VOPC',11.96870041,79.81009674],
[103,'Rajahmundry Airport','Rajahmundry','VORY',17.11039925,81.81819916],
[104,'Salem Airport','Salem','VOSM',11.7833004,78.06559753],
[105,'Tanjore Air Force Base','Tanjore','VOTJ',10.72239971,79.10160065],
[106,'Tirupati Airport','Tirupeti','VOTP',13.63249969,79.54329681],
[107,'Tiruchirapally Civil Airport Airport','Tiruchirappalli','VOTR',10.76539993,78.70970154],
[108,'Trivandrum International Airport','Trivandrum','VOTV',8.48211956,76.92009735],
[109,'Diu Airport','Diu','VA1P',20.71310043,70.9210968],
[110,'Hubli Airport','Hubli','VAHB',15.36170006,75.0848999],
[111,'Shillong Airport','Shillong','VEBI',25.70359993,91.97869873],
[112,'Lokpriya Gopinath Bordoloi International Airport','Guwahati','VEGT',26.10610008,91.58589935],
[113,'Dimapur Airport','Dimapur','VEMR',25.88389969,93.77110291],
[114,'Tezpur Airport','Tezpur','VETZ',26.70910072,92.78469849],
[115,'Gorakhpur Airport','Gorakhpur','VEGK',26.73970032,83.4496994],
[116,'Kangra Airport','Kangra','VIGG',32.1651001,76.26339722],
[117,'Nanded Airport','Nanded','VAND',19.18330002,77.3167038],
[118,'Shimla Airport','Shimla','VISM',31.0818,77.068001],
[119,'Mysore Airport','Mysore','VOMY',12.30720043,76.64969635],
[120,'Nagaur Airport','Nagaur','VI73',27.20829964,73.71140289],
[121,'Pasighat Airport','Pasighat','VEPG',28.06609917,95.33560181],
[122,'HAL Airport','Bangalore','VOBG',12.94999981,77.66819763],
[123,'Ratnagiri Airport','Ratnagiri','VARG',17.0135994,73.32779694],
[124,'Kazi Nazrul Islam Airport','Durgapur','VEDG',23.6225,87.243],
[125,'Sri Sathya Sai Airport','Puttaparthi','VOPN',14.14929962,77.79109955]
