IATA,ICAO,Name,
"DJJ","WAJJ","Sentani Airport",
"DJM","FCBD","Djambala Airport",
"DJO","DIDL","Daloa Airport",
"DJU","BIDV","Dj??pivogur Airport",
"DKI","YDKI","Dunk Island Airport",
"DKK","KDKK","Chautauqua County/Dunkirk Airport",
"DKR","GOOY","L??opold S??dar Senghor International Airport",
"DKS","UODD","Dikson Airport",
"DKV","YDVR","Docker River Airport",
"DLA","FKKD","Douala International Airport",
"DLC","ZYTL","Dalian Zhoushuizi International Airport",
"DLE","LFGJ","Dole??""Jura Airport",
"DLF","KDLF","Laughlin Air Force Base",
"DLG","PADL","Dillingham Airport",
"DLH","KDLH","Duluth International Airport",
"DLI","VVDL","Lien Khuong Airport",
"DLK","YDLK","Dulkaninna Airport",
"DLL","KDLC","Dillon County Airport",
"DLM","LTBS","Dalaman Airport",
"DLN","KDLN","Dillon Airport",
"DLS","KDLS","Columbia Gorge Regional Airport",
"DLU","ZPDL","Dali Airport",
"DLV","YDLV","Delissaville Airport",
"DLY","NVVD","Dillon's Bay Airport",
"DLZ","ZMDZ","Dalanzadgad Airport",
"DMA","KDMA","Davis??""Monthan Air Force Base",
"DMB","UADD","Taraz Airport",
"DMD","YDMG","Doomadgee Airport",
"DME","UUDD","Domodedovo International Airport",
"DMK","VTBD","Don Mueang International Airport",
"DMM","OEDF","King Fahd International Airport",
"DMN","KDMN","Deming Municipal Airport",
"DMO","KDMO","Sedalia Regional Airport",
"DMT","SWDM","Diamantino Airport",
"DMU","VEMR","Dimapur Airport",
"DNA","RODN","Kadena Air Base",
"DNB","YDBR","Dunbar Airport",
"DND","EGPN","Dundee Airport",
"DNH","ZLDH","Dunhuang Airport",
"DNI","HSWD","Wad Medani Airport",
"DNK","UKDD","Dnipropetrovsk International Airport",
"DNL","KDNL","Daniel Field",
"DNN","KDNN","Dalton Municipal Airport",
"DNO","SWDN","Dian??polis Airport",
"DNP","VNDG","Tribhuvannagar Airport",
"DNQ","YDLQ","Deniliquin Airport",
"DNR","LFRD","Dinard??""Pleurtuit??""Saint-Malo Airport",
"DNS","KDNS","Denison Municipal Airport",
"DNU","AYDN","Dinangat Airport",
"DNV","KDNV","Vermilion Regional Airport",
"DNX","HSGG","Galegu Airport",
"DNZ","LTAY","Denizli ??ardak Airport",
"DOB","WAPD","Dobo Airport",
"DOD","HTDO","Dodoma Airport",
"DOG","HSDN","Dongola Airport",
"DOH","OTHH","Hamad International Airport",
"DOI","AYDO","Doini Island Airport",
"DOK","UKCC","Donetsk International Airport",
"DOL","LFRG","Deauville ??"" Saint-Gatien Airport",
"DOM","TDPD","Douglas??""Charles Airport",
"DOO","AYDR","Dorobisoro Airstrip",
"DOP","VNDP","Dolpa Airport",
"DOR","DFEE","Dori Airport",
"DOU","SSDO","Dourados Airport",
"DOV","KDOV","Dover Air Force Base",
"DOX","YDRA","Dongara Airport",
"DOY","ZSDY","Dongying Shengli Airport",
"DPA","KDPA","DuPage Airport",
"DPE","LFAB","Dieppe - Saint-Aubin Airport",
"DPG","KDPG","Michael Army Airfield",
"DPL","RPMG","Dipolog Airport",
"DPO","YDPO","Devonport Airport",
"DPS","WADD","Ngurah Rai International Airport",
"DQA","ZYDQ","Daqing Sartu Airport",
"DRA","KDRA","Desert Rock Airport",
"DRB","YDBY","Derby Airport |Derby Airport",
"DRD","YDOR","Dorunda Airport",
"DRE","KDRM","Drummond Island Airport",
"DRG","PADE","Deering Airport",
"DRI","KDRI","Beauregard Regional Airport",
"DRJ","SMDA","Drietabbetje Airstrip",
"DRK","MRDK","Drake Bay Airport",
"DRN","YDBI","Dirranbandi Airport",
"DRO","KDRO","Durango??""La Plata County Airport",
"DRR","YDRI","Durrie Airport",
"DRS","EDDC","Dresden Airport",
"DRT","KDRT","Del Rio International Airport",
"DRV","VRMD","Dharavandhoo Airport",
"DRW","YPDN","Darwin International Airport",
"DRY","YDRD","Drysdale River Station|Drysdale River",
"DSA","EGCN","Robin Hood Airport Doncaster Sheffield",
"DSC","FKKS","Dschang Airport",
"DSD","TFFA","La D??sirade Airport",
"DSE","HADC","Combolcha Airport",
"DSI","KDTS","Destin Executive Airport",
"DSK","OPDI","Dera Ismail Khan Airport",
"DSM","KDSM","Des Moines International Airport",
"DSN","ZBDS","Ordos Ejin Horo Airport",
"DSO","ZKSD","Sondok Airport",
"DSS","GOBD","Blaise Diagne International Airport",
"DSV","KDSV","Dansville Municipal Airport",
"DTA","KDTA","Delta Municipal Airport",
"DTB","WIMN","Silangit Airport",
"DTD","WALJ","Datadawai Airport",
"DTE","RPUD","Bagasbas Airport",
"DTI","SNDT","Diamantina Airport",
"DTL","KDTL","Detroit Lakes Airport",
"DTM","EDLW","Dortmund Airport",
"DTN","KDTN","Shreveport Downtown Airport",
"DTT",,"metropolitan area{{ref|1|1}}",
"DTW","KDTW","Detroit Metropolitan Airport|Detroit Metropolitan Wayne County Airport",
"DUA","KDUA","Durant Regional Airport??""Eaker Field",
"DUB","EIDW","Dublin Airport",
"DUC","KDUC","Halliburton Field |Halliburton Field",
"DUD","NZDN","Dunedin International Airport",
"DUE","FNDU","Dundo Airport",
"DUG","KDUG","Bisbee Douglas International Airport",
"DUK","FADK","Dukuduku Airport",
"DUM","WIBD","Pinang Kampai Airport",
"DUR","FALE","King Shaka International Airport",
"DUS","EDDL","D??sseldorf Airport",
"DUT","PADU","Unalaska Airport",
"DVL","KDVL","Devils Lake Regional Airport",
"DVN","KDVN","Davenport Municipal Airport |Davenport Municipal Airport",
"DVO","RPMD","Francisco Bangoy International Airport",
"DVP","YDPD","Davenport Downs Airport",
"DVT","KDVT","Phoenix Deer Valley Airport",
"DWA","FWDW","Dwanga Airport",
"DWB","FMNO","Soalala Airport",
"DWC","OMDW","Al Maktoum International Airport",
"DWD","OEDW","Dawadmi Domestic Airport",
"DWH","KDWH","David Wayne Hooks Memorial Airport",
"DWR","OADY","Dwyer Airport",
"DXB","OMDB","Dubai International Airport",
"DXD","YDIX","Dixie Airport",
"DXE","KMBO","Bruce Campbell Field",
"DXR","KDXR","Danbury Municipal Airport",
"DYA","YDYS","Dysart Airport",
"DYG","ZGDY","Zhangjiajie Hehua Airport",
"DYL","KDYL","Doylestown Airport",
"DYR","UHMA","Ugolny Airport",
"DYS","KDYS","Dyess Air Force Base",
"DYU","UTDD","Dushanbe International Airport",
"DZA","FMCZ","Dzaoudzi??""Pamandzi International Airport",
"DZN","UAKD","Zhezkazgan Airport",
"DZO","SUDU","Santa Bernardina International Airport",
"DZU","ZUDZ","Dazu Air Base",
"EAA","PAEG","Eagle Airport",
"EAB","ODAS","Abbs Airport",
"EAE","NVSE","Siwo Airport",
"EAM","OENG","Najran Domestic Airport",
"EAN","KEAN","Phifer Airfield",
"EAP",,"metropolitan area{{ref|2|2}}",
"EAR","KEAR","Kearney Regional Airport",
"EAS","LESO","San Sebasti?!n Airport",
"EAT","KEAT","Pangborn Memorial Airport",
"EAU","KEAU","Chippewa Valley Regional Airport",
"EBA","LIRJ","Marina di Campo Airport",
"EBB","HUEN","Entebbe International Airport",
"EBD","HSOB","El Obeid Airport",
"EBG","SKEB","El Bagre Airport",
"EBH","DAOY","El Bayadh Airport",
"EBJ","EKEB","Esbjerg Airport",
"EBL","ORER","Erbil International Airport",
"EBM","DTTR","El Borma Airport",
"EBS","KEBS","Webster City Municipal Airport",
"EBU","LFMH","Saint-??tienne??""Bouth??on Airport",
"EBW","FKKW","Ebolowa Airport",
"ECG","KECG","Elizabeth City Regional Airport",
"ECH","YECH","Echuca Airport",
"ECI","MNLP","Costa Esmeralda Airport",
"ECN","LCEN","Ercan International Airport",
"ECP","KECP","Northwest Florida Beaches International Airport",
"ECR","SKEH","El Charco Airport",
"ECS","KECS","Mondell Field",
"EDB","HSDB","El Debba Airport",
"EDE","KEDE","Northeastern Regional Airport",
"EDF","PAED","Elmendorf Air Force Base",
"EDI","EGPH","Edinburgh Airport",
"EDK","KEQA","Captain Jack Thomas/El Dorado Airport",
"EDL","HKEL","Eldoret International Airport",
"EDM","LFRI","La Roche-sur-Yon Aerodrome",
"EDO","LTFD","Bal??kesir Koca Seyit Airport",
"EDR","YPMP","Edward River Airport",
"EDW","KEDW","Edwards Air Force Base",
"EED","KEED","Needles Airport",
"EEK","PAEE","Eek Airport",
"EEN","KEEN","Dillant??""Hopkins Airport",
"EFD","KEFD","Ellington Airport |Ellington Field",
"EFG","AYEF","Efogi Airport",
"EFK","KEFK","Newport State Airport , Vermont|Newport",
"EFL","LGKF","Cephalonia International Airport",
"EFW","KEFW","Jefferson Municipal Airport",
"EGA","AYEN","Engati Airport",
"EGC","LFBE","Bergerac Dordogne P??rigord Airport",
"EGE","KEGE","Eagle County Regional Airport",
"EGL","HANG","Neghelle Airport",
"EGM","AGGS","Seghe Airport",
"EGN","HSGN","Geneina Airport",
"EGO","UUOB","Belgorod International Airport",
"EGS","BIEG","Egilssta??ir Airport",
"EGV","KEGV","Eagle River Union Airport",
"EGX","PAII","Egegik Airport",
"EHL","SAVB","El Bols??n Airport",
"EHM","PAEH","Cape Newenham LRRS Airport",
"EIB","EDGE","Eisenach-Kindel Airport",
"EIE","UNII","Yeniseysk Airport",
"EIL","PAEI","Eielson Air Force Base",
"EIN","EHEH","Eindhoven Airport",
"EIS","TUPJ","Terrance B. Lettsome International Airport",
"EIY","LLEY","Ein Yahav Airfield",
"EJA","SKEJ","Yarigu??es Airport",
"EJH","OEWJ","Al Wajh Domestic Airport",
"EKA","KEKA","Murray Field",
"EKB","UASB","Ekibastuz Airport",
"EKI","KEKM","Elkhart Municipal Airport",
"EKN","KEKN","Elkins-Randolph County Airport",
"EKO","KEKO","Elko Regional Airport",
"EKS","UHSK","Shakhtyorsk Airport",
"EKT","ESSU","Eskilstuna Airport",
"EKX","KEKX","Elizabethtown Regional Airport",
"ELA","KELA","Eagle Lake Airport",
"ELB","SKBC","Las Flores Airport |Las Flores Airport",
"ELC","YELD","Elcho Island Airport",
"ELD","KELD","South Arkansas Regional Airport at Goodwin Field",
"ELF","HSFS","El Fasher Airport",
"ELG","DAUE","El Golea Airport",
"ELH","MYEH","North Eleuthera Airport",
"ELI","PFEL","Elim Airport",
"ELJ","SVWX","El Recreo Airport",
"ELK","KELK","Elk City Regional Business Airport",
"ELL","FAER","Ellisras Airport",
"ELM","KELM","Elmira/Corning Regional Airport",
"ELO","SATD","Eldorado Airport |Eldorado Airport",
"ELP","KELP","El Paso International Airport",
"ELQ","OEGS","Prince Nayef bin Abdulaziz Regional Airport",
"ELS","FAEL","East London Airport",
"ELT","HETR","El Tor Airport",
"ELU","DAUO","Guemar Airport",
"ELV","PAEL","Elfin Cove Seaplane Base",
"ELY","KELY","Ely Airport",
"ELZ","KELZ","Wellsville Municipal Airport",
"EMA","EGNX","East Midlands Airport",
"EMD","YEML","Emerald Airport",
"EME","EDWE","Emden Airport",
"EMG","FAEM","Empangeni Airport",
"EMI","AYEE","Emirau Airport",
"EMK","PAEM","Emmonak Airport",
"EML","LSME","Milit??rflugplatz Emmen|Emmen Air Base",
"EMM","KEMM","Kemmerer Municipal Airport",
"EMN","GQNI","N??ma Airport",
"EMO","AYEO","Emo Airport",
"EMP","KEMP","Emporia Municipal Airport",
"EMS","AYEB","Embessa Airport",
"EMT","KEMT","San Gabriel Valley Airport",
"EMX","SAVD","El Mait??n Airport",
"EMY","HEMN","El Minya Airport",
"ENA","PAEN","Kenai Municipal Airport",
"ENB","YEEB","Eneabba Airport",
"ENC","LFSN","Nancy-Essey Airport",
"END","KEND","Vance Air Force Base",
"ENE","WATE","H. Hasan Aroeboesman Airport",
"ENF","EFET","Enonteki?? Airport",
"ENH","ZHES","Enshi Xujiaping Airport",
"ENI","RPEN","El Nido Airport",
"ENK","EGAB","Enniskillen/St Angelo Airport",
"ENL","KENL","Centralia Municipal Airport",
"ENN","PANN","Nenana Municipal Airport",
"ENO","SGEN","Teniente Amin Ayub Gonzalez Airport",
"ENS","EHTW","Enschede Airport Twente",
"ENT","PKMA","Enewetak Auxiliary Airfield",
"ENU","DNEN","Akanu Ibiam International Airport",
"ENV","KENV","Wendover Airport",
"ENW","KENW","Kenosha Regional Airport",
"ENY","ZLYA","Yan'an Nanniwan Airport",
"EOH","SKMD","Olaya Herrera Airport",
"EOI","EGED","Eday Airport",
"EOK","KEOK","Keokuk Municipal Airport",
"EOR","SVED","El Dorado Airport |El Dorado Airport",
"EOS","KEOS","Neosho Hugh Robinson Airport",
"EOZ","SVEZ","Elorza Airport",
"EPA","SADP","El Palomar Airport",
"EPH","KEPH","Ephrata Municipal Airport",
"EPL","LFSG","??pinal ??"" Mirecourt Airport",
"EPR","YESP","Esperance Airport",
"EPS","MDAB","Arroyo Barril Airport",
"EPT","AYEL","Eliptamin Airport",
"EPU","EEPU","P??rnu Airport",
"EQS","SAVE","Esquel Airport",
"ERA","HCMU","Erigavo Airport",
"ERB","YERN","Pukatja Airport",
"ERC","LTCD","Erzincan Airport",
"ERD","UKDB","Berdyansk Airport|Berdiansk Airport",
"ERE","AYEV","Erave Airport",
"ERF","EDDE","Erfurt??""Weimar Airport",
"ERG","UIKE","Erbogachen Airport",
"ERH","GMFK","Moulay Ali Cherif Airport",
"ERI","KERI","Erie International Airport",
"ERL","ZBER","Erenhot Saiwusu International Airport",
"ERM","SSER","Erechim Airport",
"ERN","SWEI","Eirunep?? Airport"" |Amazonas",
"ERQ","YESE","Elrose Airport",
"ERR","KERR","Errol Airport",
"ERS","FYWE","Eros Airport",
"ERU","AYER","Erume Airport",
"ERV","KERV","Kerrville Municipal Airport",
"ERZ","LTCE","Erzurum Airport",
"ESB","LTAC","Esenbo??a International Airport",
"ESC","KESC","Delta County Airport",
"ESD","KORS","Orcas Island Airport",
"ESE","MMES","Ensenada Airport",
"ESF","KESF","Esler Airfield",
"ESG","SGME","Dr. Luis Mar??a Arga??a International Airport",
"ESH","EGKA","Shoreham Airport",
"ESK","LTBI","Eski??ehir Airport",
"ESL","URWI","Elista Airport",
"ESM","SETN","Carlos Concha Torres International Airport",
"ESN","KESN","Easton Airport , ""Easton, Maryland|Easton",
"ESR","SCES","Ricardo Garc??a Posada Airport",
"ESS","EDLE","Essen/M??lheim Airport",
"EST","KEST","Estherville Municipal Airport",
"ESU","GMMI","Essaouira-Mogador Airport",
"ESW","KESW","Easton State Airport",
"ETB","KETB","West Bend Municipal Airport",
"ETD","YEDA","Etadunna Airport",
"ETE","HAMM","Genda Wuha Airport",
"ETH","LLET","Eilat Airport|J. Hozman Airport",
"ETM","LLER","Ramon Airport",
"ETN","KETN","Eastland Municipal Airport",
"ETR","SERO","Santa Rosa International Airport",
"ETS","KEDN","Enterprise Municipal Airport , ""Enterprise, Alabama|Enterprise",
"ETZ","LFJL","Metz??""Nancy??""Lorraine Airport",
"EUA","NFTE","'Eua Airport|Eua Airport",
"EUC","YECL","Eucla Airport",
"EUF","KEUF","Weedon Field",
"EUG","KEUG","Eugene Airport",
"EUM","EDHN","Neum??nster Airport",
"EUN","GMML","Hassan I Airport",
"EUQ","RPVS","Evelio Javier Airport",
"EUX","TNCE","F. D. Roosevelt Airport",
"EVE","ENEV","Harstad/Narvik Airport, Evenes",
"EVG","ESND","Sveg Airport",
"EVH","YEVD","Evans Head Memorial Aerodrome",
"EVM","KEVM","Eveleth-Virginia Municipal Airport",
"EVN","UDYZ","Zvartnots International Airport",
"EVV","KEVV","Evansville Regional Airport",
"EVW","KEVW","Evanston-Uinta County Burns Field",
"EVX","LFOE","??vreux-Fauville Air Base",
"EWB","KEWB","New Bedford Regional Airport",
"EWK","KEWK","Newton City/County Airport",
"EWN","KEWN","Coastal Carolina Regional Airport",
"EWO","FCOE","Ewo Airport",
"EWR","KEWR","Newark Liberty International Airport",
"EXM","YEXM","Exmouth Airport",
"EXT","EGTE","Exeter International Airport",
"EYK","USHQ","Beloyarsk Airport",
"EYL","GAYE","Y??liman?? Airport",
"EYP","SKYP","El Alcarav?!n Airport",
"EYS","HKES","Eliye Springs Airport",
"EYW","KEYW","Key West International Airport",
"EZE","SAEZ","Ministro Pistarini International Airport",
"EZS","LTCA","Elaz???? Airport",
"FAA","GUFH","Faranah Airport",
"FAB","EGLF","Farnborough Airport",
"FAC","NTKF","Faaite Airport",
"FAE","EKVG","V?!gar Airport",
"FAF","KFAF","Felker Army Airfield",
"FAG","BIFM","Fagurh??lsm??ri Airport",
"FAH","OAFR","Farah Airport",
"FAI","PAFA","Fairbanks International Airport",
"FAJ","TJFA","Diego Jim??nez Torres Airport",
"FAM","KFAM","Farmington Regional Airport",
"FAO","LPFR","Faro Airport",
"FAQ","AYFR","Frieda River Airport",
"FAR","KFAR","Hector International Airport",
"FAS","BIFF","F?!skr????sfj??r??ur Airport",
"FAT","KFAT","Fresno Yosemite International Airport",
"FAU","OOFD","Fahud Airport",
"FAV","NTGF","Fakarava Airport",
"FAY","KFAY","Fayetteville Regional Airport",
"FAZ","OISF","Fasa Airport",
"FBA","SWOB","Fonte Boa Airport",
"FBD","OAFZ","Fayzabad Airport",
"FBE","SSFB","Francisco Beltr??o Airport"" |Paran?!",
"FBG","KFBG","Simmons Army Airfield",
"FBK","PAFB","Ladd Army Airfield",
"FBL","KFBL","Faribault Municipal Airport",
"FBM","FZQA","Lubumbashi International Airport",
"FBR","KFBR","Fort Bridger Airport",
"FBY","KFBY","Fairbury Municipal Airport",
"FCA","KGPI","Glacier Park International Airport",
"FCB","FAFB","Ficksburg Airport",
"FCH","KFCH","Fresno Chandler Executive Airport",
"FCM","KFCM","Flying Cloud Airport",
"FCN","ETMN","Nordholz Naval Airbase",
"FCO","LIRF","Leonardo da Vinci??""Fiumicino Airport",
"FCS","KFCS","Butts Army Airfield",
"FCY","KFCY","Forrest City Municipal Airport",
"FDE","ENBL","F??rde Airport, Bringeland",
"FDF","TFFF","Martinique Aim?? C??saire International Airport",
"FDH","EDNY","Friedrichshafen Airport",
"FDK","KFDK","Frederick Municipal Airport |Frederick Municipal Airport",
"FDR","KFDR","Frederick Regional Airport",
"FDU","FZBO","Bandundu Airport",
"FDY","KFDY","Findlay Airport",
"FEB","VNSR","Sanfebagar Airport",
"FEC","SNJD","Feira de Santana Airport",
"FEG","UTKF","Fergana International Airport",
"FEJ","SNOU","Feij?? Airport",
"FEK","DIFK","Ferkess??dougou Airport",
"FEL","ETSF","F??rstenfeldbruck Air Base",
"FEN","SBFN","Fernando de Noronha Airport",
"FEP","KFEP","Albertus Airport",
"FET","KFET","Fremont Municipal Airport |Fremont Municipal Airport",
"FEZ","GMFF","Fes??""Sa??ss Airport",
"FFA","KFFA","First Flight Airport",
"FFD","EGVA","RAF Fairford",
"FFL","KFFL","Fairfield Municipal Airport |Fairfield Municipal Airport",
"FFM","KFFM","Fergus Falls Municipal Airport",
"FFO","KFFO","Wright-Patterson Air Force Base",
"FFT","KFFT","Capital City Airport |Capital City Airport",
"FFU","SCFT","Futaleuf?? Airfield",
"FGD","GQPF","Fderik Airport",
"FGI","NSFI","Fagali'i Airport",
"FGU","NTGB","Fangatau Airport",
"FHU","KFHU","Sierra Vista Municipal Airport",
"FHZ","NTKH","Fakahina Airport",
"FIE","EGEF","Fair Isle Airport",
"FIG","GUFA","Fria Airport",
"FIH","FZAA","N'djili Airport",
"FIK","YFNE","Finke Airport",
"FIL","KFOM","Fillmore Municipal Airport",
"FIN","AYFI","Finschhafen Airport",
"FIZ","YFTZ","Fitzroy Crossing Airport",
"FJR","OMFJ","Fujairah International Airport",
"FKB","EDSB","Karlsruhe/Baden-Baden Airport",
"FKI","FZIC","Bangoka International Airport",
"FKJ","RJNF","Fukui Airport",
"FKL","KFKL","Venango Regional Airport",
"FKN","KFKN","Franklin Municipal??""John Beverly Rose Airport",
"FKQ","WASF","Fakfak Torea Airport",
"FKS","RJSF","Fukushima Airport",
"FLA","SKFL","Gustavo Artunduaga Paredes Airport",
"FLB","SNQG","Cangapara Airport",
"FLD","KFLD","Fond du Lac County Airport",
"FLF","EDXF","Flensburg-Sch??ferhaus Airport",
"FLG","KFLG","Flagstaff Pulliam Airport",
"FLL","KFLL","Fort Lauderdale??""Hollywood International Airport",
"FLN","SBFL","Herc??lio Luz International Airport",
"FLO","KFLO","Florence Regional Airport",
"FLP","KFLP","Marion County Regional Airport",
"FLR","LIRQ","Florence Airport, Peretola",
"FLS","YFLI","Flinders Island Airport",
"FLV","KFLV","Sherman Army Airfield",
"FLW","LPFL","Flores Airport",
"FLX","KFLX","Fallon Municipal Airport",
"FLY","YFIL","Finley Airport",
"FLZ","WIMS","Ferdinand Lumban Tobing Airport",
"FMA","SARF","Formosa International Airport",
"FME","KFME","Tipton Airport",
"FMI","FZRF","Kalemie Airport",
"FMM","EDJA","Memmingen Airport",
"FMN","KFMN","Four Corners Regional Airport",
"FMO","EDDG","M??nster Osnabr??ck International Airport",
"FMS","KFSW","Fort Madison Municipal Airport",
"FMY","KFMY","Page Field",
"FNA","GFLL","Lungi International Airport",
"FNB","ETNU","Neubrandenburg Airport",
"FNC","LPMA","Madeira Airport",
"FNE","AYFA","Fane Airport",
"FNG","DFEF","Fada N'gourma Airport",
"FNH","HAFN","Fincha Airport",
"FNI","LFTW","N??mes??""Al??s??""Camargue??""C??vennes Airport",
"FNJ","ZKPY","Pyongyang Sunan International Airport",
"FNL","KFNL","Fort Collins??""Loveland Municipal Airport",
"FNT","KFNT","Bishop International Airport",
"FNU","LIER","Oristano-Fenosu Airport",
"FOC","ZSFZ","Fuzhou Changle International Airport",
"FOD","KFOD","Fort Dodge Regional Airport",
"FOE","KFOE","Topeka Regional Airport",
"FOG","LIBF","Foggia ""Gino Lisa"" Airport",
"FOK","KFOK","Francis S. Gabreski Airport",
"FOM","FKKM","Foumban Nkounja Airport",
"FON","MRAN","La Fortuna Airport",
"FOR","SBFZ","Pinto Martins ??"" Fortaleza International Airport",
"FOS","YFRT","Forrest Airport",
"FOT","YFST","Forster  Airport",
"FOU","FOGF","Fougamou Airport",
"FPO","MYGF","Grand Bahama International Airport",
"FPR","KFPR","St. Lucie County International Airport",
"FRA","EDDF","Frankfurt Airport",
"FRB","YFBS","Forbes Airport",
"FRC","SIMK","Franca Airport"" |S??o Paulo",
"FRD","KFHR","Friday Harbor Airport",
"FRE","AGGF","Fera Airport",
"FRG","KFRG","Republic Airport",
"FRH","KFRH","French Lick Municipal Airport",
"FRI","KFRI","Marshall Army Airfield",
"FRK","FSSF","Fr??gate Island Airport",
"FRL","LIPK","Forl?? Airport|Forl?? International Airport",
"FRM","KFRM","Fairmont Municipal Airport |Fairmont Municipal Airport",
"FRN","PAFR","Bryant Army Heliport|Bryant Army Airport",
"FRO","ENFL","Flor?? Airport",
"FRQ","AYFE","Feramin Airport",
"FRR","KFRR","Front Royal??""Warren County Airport",
"FRS","MGTK","Mundo Maya International Airport",
"FRT","SCFI","Frutillar Airport",
"FRU","UAFM","Manas International Airport",
"FRW","FBFT","Francistown Airport",
"FRY","KIZG","Eastern Slopes Regional Airport",
"FRZ","ETHF","Fritzlar Air Base",
"FSC","LFKF","Figari??""Sud Corse Airport",
"FSD","KFSD","Sioux Falls Regional Airport",
"FSI","KFSI","Henry Post Army Airfield",
"FSK","KFSK","Fort Scott Municipal Airport",
"FSM","KFSM","Fort Smith Regional Airport",
"FSP","LFVP","Saint-Pierre Airport",
"FSS","EGQK","RAF Kinloss",
"FST","KFST","Fort Stockton??""Pecos County Airport",
"FSU","KFSU","Fort Sumner Municipal Airport",
"FSZ","RJNS","Shizuoka Airport",
"FTA","NVVF","Futuna Airport",
"FTE","SAWA","Comandante Armando Tola International Airport",
"FTK","KFTK","Godman Army Airfield",
"FTU","FMSD","T??lanaro Airport",
"FTW","KFTW","Fort Worth Meacham International Airport",
"FTX","FCOO","Owando Airport",
"FTY","KFTY","Fulton County Airport |Georgia",
"FUE","GCFV","Fuerteventura Airport",
"FUG","ZSFY","Fuyang Xiguan Airport",
"FUJ","RJFE","Fukue Airport"" || ""Got?, Nagasaki|Got?",
"FUK","RJFF","Fukuoka Airport",
"FUL","KFUL","Fullerton Municipal Airport",
"FUN","NGFU","Funafuti International Airport",
"FUO","ZGFS","Foshan Shadi Airport",
"FUT","NLWF","Pointe Vele Airport",
"FVL","YFLO","Flora Valley Airport",
"FVM","VRMF","Fuvahmulah Airport",
"FVR","YFRV","Forrest River Airport",
"FWA","KFWA","Fort Wayne International Airport",
"FWH","KNFW","Naval Air Station Joint Reserve Base Fort Worth|NAS Fort Worth JRB"" / Carswell Field , ""Fort Worth, Texas|Fort Worth",
"FWL","PAFW","Farewell Airport",
"FXE","KFXE","Fort Lauderdale Executive Airport",
"FXO","FQCB","Cuamba Airport",
"FXY","KFXY","Forest City Municipal Airport",
"FYJ","ZYFY","Fuyuan Dongji Airport",
"FYM","KFYM","Fayetteville Municipal Airport |Fayetteville Municipal Airport",
"FYN","ZWFY","Fuyun Koktokay Airport",
"FYT","FTTY","Faya-Largeau Airport",
"FYU","PFYU","Fort Yukon Airport",
"FYV","KFYV","Drake Field",
"FZO","EGTG","Bristol Filton Airport",
"GAB","KGAB","Gabbs Airport",
"GAC","MHGS","Gracias Airport",
"GAD","KGAD","Northeast Alabama Regional Airport",
"GAE","DTTG","Gab??s ??"" Matmata International Airport",
"GAF","DTTF","Gafsa ??"" Ksar International Airport",
"GAG","KGAG","Gage Airport",
"GAH","YGAY","Gayndah Airport",
"GAI","KGAI","Montgomery County Airpark",
"GAJ","RJSC","Yamagata Airport",
"GAL","PAGA","Edward G. Pitka Sr. Airport",
"GAM","PAGM","Gambell Airport",
"GAN","VRMG","Gan International Airport",
"GAO","MUGT","Mariana Grajales Airport",
"GAP","AYGP","Gusap Airport",
"GAQ","GAGO","Gao International Airport",
"GAR","AYGI","Garaina Airport",
"GAS","HKGA","Garissa Airport",
"GAT","LFNA","Gap??""Tallard Airport",
"GAU","VEGT","Lokpriya Gopinath Bordoloi International Airport",
"GAW","VYGG","Gangaw Airport",
"GAY","VEGY","Gaya Airport",
"GBA","EGBP","Cotswold Airport",
"GBB","UBBQ","Qabala International Airport",
"GBC","AYGS","Gasuke Airport",
"GBD","KGBD","Great Bend Municipal Airport",
"GBE","FBSK","Sir Seretse Khama International Airport",
"GBF","AYNE","Negarbo Airport",
"GBG","KGBG","Galesburg Municipal Airport",
"GBH","PAGB","Galbraith Lake Airport",
"GBJ","TFFM","Marie-Galante Airport",
"GBK","GFGK","Gbangbatok Airport",
"GBL","YGBI","South Goulburn Island Airport",
"GBP","YGAM","Gamboola Airport",
"GBR","KGBR","Walter J. Koladza Airport",
"GBT","OING","Gorgan Airport",
"GBU","HSKG","Khashm el Girba Airport",
"GBV","YGIB","Gibb River Airport",
"GBW","YGIA","Ginbata Airport",
"GBZ","NZGB","Great Barrier Aerodrome",
"GCC","KGCC","Gillette??""Campbell County Airport",
"GCH","OIAH","Gachsaran Airport",
"GCI","EGJB","Guernsey Airport",
"GCJ","FAGC","Grand Central Airport",
"GCK","KGCK","Garden City Regional Airport",
"GCM","MWCR","Owen Roberts International Airport",
"GCN","KGCN","Grand Canyon National Park Airport",
"GCY","KGCY","Greeneville??""Greene County Municipal Airport",
"GDC","KGYH","Donaldson Center Airport",
"GDD","YGDN","Gordon Downs Airport",
"GDE","HAGO","Gode Airport",
"GDG","UHBI","Magdagachi Airport",
"GDJ","FZWC","Gandajika Airport",
"GDL","MMGL","Guadalajara International Airport",
"GDM","KGDM","Gardner Municipal Airport |Gardner Municipal Airport",
"GDN","EPGD","Gda?""sk Lech Wa?,??sa Airport",
"GDO","SVGD","Guasdualito Airport",
"GDP","SNGD","Guadalupe Airport",
"GDQ","HAGN","Gondar Airport",
"GDT","MBGT","JAGS McCartney International Airport",
"GDV","KGDV","Dawson Community Airport",
"GDW","KGDW","Gladwin Zettel Memorial Airport",
