IATA,ICAO,Name,
"AHJ","ZUHY","Hongyuan Airport",
"AHL","SYAH","Aishalton Airport",
"AHN","KAHN","Athens Ben Epps Airport",
"AHO","LIEA","Alghero-Fertilia Airport",
"AHS","MHAH","Ahuas Airport",
"AHU","GMTA","Cherif Al Idrissi Airport",
"AHZ","LFHU","Alpe d'Huez Airport",
"AIA","KAIA","Alliance Municipal Airport",
"AID","KAID","Anderson Municipal Airport",
"AIE","AYAO","Aiome Airport",
"AIF","SNAX","Assis Airport"" |S??o Paulo",
"AIG","FEFY","Yalinga Airport",
"AIH","AYAK","Aiambak Airport",
"AII","HDAS","Ali-Sabieh Airport",
"AIK","KAIK","Aiken Municipal Airport",
"AIN","PAWI","Wainwright Airport , ""Fort Wainwright",
"AIO","KAIO","Atlantic Municipal Airport",
"AIR","SSOU","Aripuan?? Airport",
"AIS","NGTR","Arorae Island Airport",
"AIT","NCAI","Aitutaki Airport",
"AIU","NCAT","Enua Airport",
"AIV","KAIV","George Downer Airport",
"AIZ","KAIZ","Lee C. Fine Memorial Airport",
"AJA","LFKJ","Ajaccio Napoleon Bonaparte Airport",
"AJF","OESK","Al-Jawf Domestic Airport",
"AJI","LTCO","A??r?? Airport",
"AJJ","GQNJ","Akjoujt Airport",
"AJK","OIHR","Arak Airport",
"AJL","VELP","Lengpui Airport",
"AJN","FMCV","Ouani Airport",
"AJR","ESNX","Arvidsjaur Airport",
"AJU","SBAR","Santa Maria Airport |Santa Maria Airport",
"AJY","DRZA","Mano Dayak International Airport",
"AKA","ZLAK","Ankang Wulipu Airport",
"AKB","PAAK","Atka Airport",
"AKC","KAKR","Akron Fulton International Airport",
"AKD","VAAK","Akola Airport",
"AKE","FOGA","Akieni Airport",
"AKF","HLKF","Kufra Airport",
"AKG","AYGU","Anguganak Airport",
"AKH","OEPS","Prince Sultan Air Base",
"AKI","PFAK","Akiak Airport",
"AKJ","RJEC","Asahikawa Airport",
"AKK","PAKH","Akhiok Airport",
"AKL","NZAA","Auckland Airport",
"AKN","PAKN","King Salmon Airport",
"AKO","KAKO","Colorado Plains Regional Airport",
"AKP","PAKP","Anaktuvuk Pass Airport",
"AKQ","WIAG","Gunung Batin Airport",
"AKR","DNAK","Akure Airport",
"AKS","AGGA","Auki Gwaunaru'u Airport",
"AKT","LCRA","RAF Akrotiri",
"AKU","ZWAK","Aksu Airport",
"AKV","CYKO","Akulivik Airport",
"AKW","OIAG","Aghajari Airport",
"AKX","UATT","Aktobe Airport",
"AKY","VYSW","Sittwe Airport",
"ALA","UAAA","Almaty International Airport",
"ALB","KALB","Albany International Airport",
"ALC","LEAL","Alicante??""Elche Airport",
"ALD","SPAR","Alerta Airport",
"ALF","ENAT","Alta Airport",
"ALG","DAAG","Houari Boumediene Airport",
"ALH","YABA","Albany Airport |Albany Airport",
"ALI","KALI","Alice International Airport",
"ALJ","FAAB","Alexander Bay Airport",
"ALL","LIMG","Albenga Airport",
"ALM","KALM","Alamogordo??""White Sands Regional Airport",
"ALN","KALN","St. Louis Regional Airport",
"ALO","KALO","Waterloo Regional Airport",
"ALP","OSAP","Aleppo International Airport",
"ALQ","SSLT","Alegrete Airport",
"ALR","NZLX","Alexandra Aerodrome",
"ALS","KALS","San Luis Valley Regional Airport",
"ALU","HCMA","Alula Airport",
"ALW","KALW","Walla Walla Regional Airport",
"ALX","KALX","Thomas C. Russell Field",
"ALY","HEAX","El Nouzha Airport",
"AMA","KAMA","Rick Husband Amarillo International Airport",
"AMB","FMNE","Ambilobe Airport",
"AMC","FTTN","Am Timan Airport",
"AMD","VAAH","Sardar Vallabhbhai Patel International Airport",
"AMF","AYAA","Ama Airport",
"AMH","HAAM","Arba Minch Airport",
"AMJ","SNAR","Almenara Airport",
"AMM","OJAI","Queen Alia International Airport",
"AMN","KAMN","Gratiot Community Airport",
"AMO","FTTU","Mao Airport",
"AMP","FMSY","Ampanihy Airport",
"AMQ","WAPP","Pattimura Airport",
"AMS","EHAM","Amsterdam Airport Schiphol",
"AMT","YAMT","Amata Airport",
"AMU","AYAM","Amanab Airport",
"AMV","ULDD","Amderma Airport",
"AMW","KAMW","Ames Municipal Airport",
"AMZ","NZAR","Ardmore Airport |Ardmore Airport",
"ANB","KANB","Anniston Regional Airport",
"ANC","PANC","Ted Stevens Anchorage International Airport",
"AND","KAND","Anderson Regional Airport",
"ANE","LFJR","Angers ??"" Loire Airport",
"ANF","SCFA","Cerro Moreno International Airport",
"ANG","LFBU","Angoul??me ??"" Cognac International Airport",
"ANI","PANI","Aniak Airport",
"ANJ","FCBZ","Zanaga Airport",
"ANK","LTAD","Etimesgut Air Base",
"ANM","FMNH","Antsirabato Airport",
"ANN","PANT","Annette Island Airport",
"ANO","FQAG","Angoche Airport",
"ANP","KANP","Lee Airport",
"ANQ","KANQ","Tri-State Steuben County Airport",
"ANR","EBAW","Antwerp International Airport",
"ANS","SPHY","Andahuaylas Airport",
"ANU","TAPA","V. C. Bird International Airport",
"ANV","PANV","Anvik Airport",
"ANW","KANW","Ainsworth Regional Airport",
"ANX","ENAN","And??ya Airport, Andenes",
"ANY","KANY","Anthony Municipal Airport",
"AOC","EDAC","Leipzig??""Altenburg Airport",
"AOE","LTBY","Anadolu Airport",
"AOG","ZYAS","Anshan Teng'ao Airport",
"AOH","KAOH","Lima Allen County Airport",
"AOI","LIPY","Ancona Falconara Airport",
"AOJ","RJSA","Aomori Airport",
"AOK","LGKP","Karpathos Island National Airport",
"AOL","SARL","Paso de los Libres Airport",
"AOO","KAOO","Altoona??""Blair County Airport",
"AOR","WMKA","Sultan Abdul Halim Airport",
"AOT","LIMW","Aosta Valley Airport",
"AOU","VLAP","Attapeu International Airport",
"APA","KAPA","Centennial Airport",
"APB","SLAP","Apolo Airport",
"APC","KAPC","Napa County Airport",
"APF","KAPF","Naples Municipal Airport",
"APG","KAPG","Phillips Army Airfield",
"APH","KAPH","A.P. Hill Army Airfield",
"API","SKAP","Captain Luis F. G??mez Ni??o Air Base",
"APK","NTGD","Apataki Airport",
"APL","FQNP","Nampula Airport",
"APN","KAPN","Alpena County Regional Airport",
"APO","SKLC","Antonio Rold?!n Betancourt Airport",
"APQ","SNAL","Arapiraca Airport",
"APR","AYPE","April River Airport",
"APS","SWNS","An?!polis Airport",
"APT","KAPT","Marion County Airport , ""Jasper, Tennessee|Jasper",
"APU","SSAP","Apucarana Airport",
"APV","KAPV","Apple Valley Airport |Apple Valley Airport",
"APW","NSFA","Faleolo International Airport",
"APX","SSOG","Arapongas Airport",
"APY","SNAI","Alto Parna??ba Airport",
"APZ","SAHZ","Zapala Airport",
"AQA","SBAQ","Araraquara Airport",
"AQB","MGQC","Quich?? Airport",
"AQG","ZSAQ","Anqing Tianzhushan Airport",
"AQI","OEPA","Al Qaisumah/Hafr Al Batin Airport",
"AQJ","OJAQ","King Hussein International Airport",
"AQP","SPQU","Rodr??guez Ball??n International Airport",
"ARA","KARA","Acadiana Regional Airport",
"ARB","KARB","Ann Arbor Municipal Airport",
"ARC","PARC","Arctic Village Airport",
"ARD","WATM","Alor Island Airport",
"ARE","TJAB","Antonio , ""Arecibo, Puerto Rico|Arecibo",
"ARG","KARG","Walnut Ridge Regional Airport",
"ARH","ULAA","Talagi Airport",
"ARI","SCAR","Chacalluta International Airport",
"ARJ","WAJA","Arso Airport",
"ARK","HTAR","Arusha Airport",
"ARL","DFER","Arly Airport",
"ARM","YARM","Armidale Airport",
"ARN","ESSA","Stockholm Arlanda Airport",
"ARQ","SKAT","El Troncal Airport",
"ARR","SAVR","Alto R??o Senguer Airport",
"ARS","SWEC","Aragar??as Airport",
"ART","KART","Watertown International Airport",
"ARU","SBAU","Ara??atuba Airport",
"ARV","KARV","Lakeland Airport",
"ARY","YARA","Ararat Airport",
"ARZ","FNZE","N'zeto Airport",
"ASA","HHSB","Assab International Airport",
"ASB","UTAA","Ashgabat International Airport",
"ASC","SLAS","Ascenci??n de Guarayos Airport",
"ASD","MYAF","Andros Town International Airport",
"ASF","URWA","Narimanovo Airport",
"ASG","NZAS","Ashburton Aerodrome",
"ASH","KASH","Nashua Airport",
"ASI","FHAW","RAF Ascension Island",
"ASK","DIYO","Yamoussoukro Airport",
"ASL","KASL","Harrison County Airport |Harrison County Airport",
"ASM","HHAS","Asmara International Airport",
"ASN","KASN","Talladega Municipal Airport",
"ASO","HASO","Asosa Airport",
"ASP","YBAS","Alice Springs Airport",
"ASR","LTAU","Erkilet International Airport",
"AST","KAST","Astoria Regional Airport",
"ASU","SGAS","Silvio Pettirossi International Airport",
"ASV","HKAM","Amboseli Airport",
"ASW","HESN","Aswan International Airport",
"ASX","KASX","John F. Kennedy Memorial Airport",
"ASY","KASY","Ashley Municipal Airport",
"ATA","SPHZ","Comandante FAP Germ?!n Arias Graziani Airport",
"ATB","HSAT","Atbara Airport",
"ATC","MYCA","Arthur's Town Airport",
"ATF","SEAM","Chachoan Airport",
"ATH","LGAV","Athens International Airport",
"ATI","SUAG","Artigas Airport|Artigas International Airport",
"ATJ","FMME","Antsirabe Airport",
"ATK","PATQ","Atqasuk Edward Burnell Sr. Memorial Airport",
"ATL","KATL","Hartsfield??""Jackson Atlanta International Airport",
"ATM","SBHT","Altamira Airport",
"ATN","AYNX","Namatanai Airport",
"ATO","KUNI","Ohio University Airport",
"ATQ","VIAR","Sri Guru Ram Dass Jee International Airport",
"ATS","KATS","Artesia Municipal Airport",
"ATU","PAAT","Casco Cove Coast Guard Station",
"ATV","FTTI","Ati Airport",
"ATW","KATW","Appleton International Airport",
"ATY","KATY","Watertown Regional Airport",
"ATZ","HEAT","Assiut Airport",
"AUA","TNCA","Queen Beatrix International Airport",
"AUC","SKUC","Santiago P??rez Quiroz Airport",
"AUD","YAGD","Augustus Downs Airport",
"AUF","LFLA","Auxerre ??"" Branches Aerodrome",
"AUG","KAUG","Augusta State Airport",
"AUH","OMAA","Abu Dhabi International Airport",
"AUI","AYND","Aua Island Airport",
"AUJ","AYAT","Ambunti Airport",
"AUM","KAUM","Austin Municipal Airport",
"AUN","KAUN","Auburn Municipal Airport |Auburn Municipal Airport",
"AUO","KAUO","Auburn University Regional Airport",
"AUP","AYAG","Agaun Airport",
"AUQ","NTMN","Atuona Airport",
"AUR","LFLW","Aurillac ??"" Tronqui??res Airport",
"AUS","KAUS","Austin??""Bergstrom International Airport",
"AUT","WPAT","Atauro Airport",
"AUU","YAUR","Aurukun Airport",
"AUV","AYUM","Aumo Airport",
"AUW","KAUW","Wausau Downtown Airport",
"AUX","SWGN","Aragua??na Airport",
"AUY","NVVA","Anatom Airport",
"AUZ","KARR","Aurora Municipal Airport , ""Aurora, Illinois|Aurora",
"AVA","ZUAS","Anshun Huangguoshu Airport",
"AVB","LIPA","Aviano Air Base",
"AVG","YAUV","Auvergne Airport |Auvergne Airport",
"AVI","MUCA","M?!ximo G??mez Airport",
"AVK","ZMAH","Arvaikheer Airport",
"AVL","KAVL","Asheville Regional Airport",
"AVN","LFMV","Avignon ??"" Provence Airport",
"AVO","KAVO","Avon Park Executive Airport",
"AVP","KAVP","Wilkes-Barre/Scranton International Airport",
"AVV","YMAV","Avalon Airport",
"AVW","KAVQ","Marana Regional Airport",
"AVX","KAVX","Catalina Airport",
"AWA","HALA","Awasa Airport",
"AWB","AYAW","Awaba Airport",
"AWD","NVVB","Aniwa Airport",
"AWK","PWAK","Wake Island Airfield",
"AWM","KAWM","West Memphis Municipal Airport",
"AWZ","OIAW","Ahvaz International Airport",
"AXA","TQPF","Clayton J. Lloyd International Airport",
"AXC","YAMC","Aramac Airport",
"AXD","LGAL","Alexandroupoli Airport",
"AXG","KAXA","Algona Municipal Airport",
"AXJ","RJDA","Amakusa Airfield",
"AXK","OYAT","Ataq Airport",
"AXM","SKAR","El Ed??n International Airport",
"AXN","KAXN","Alexandria Municipal Airport",
"AXP","MYAP","Spring Point Airport",
"AXR","NTGU","Arutua Airport",
"AXS","KAXS","Altus/Quartz Mountain Regional Airport",
"AXT","RJSK","Akita Airport",
"AXU","HAAX","Axum Airport",
"AXV","KAXV","Neil Armstrong Airport",
"AXX","KAXX","Angel Fire Airport",
"AYG","SKYA","Yaguara Airport",
"AYK","UAUR","Arkalyk Airport",
"AYN","ZHAY","Anyang Airport",
"AYO","SGAY","Juan de Ayolas Airport",
"AYP","SPHO","Coronel FAP Alfredo Mend??vil Duarte Airport",
"AYQ","YAYE","Ayers Rock Airport",
"AYR","YAYR","Ayr Airport",
"AYS","KAYS","Waycross??""Ware County Airport",
"AYT","LTAI","Antalya Airport",
"AYU","AYAY","Aiyura Airport",
"AZA","KIWA","Phoenix??""Mesa Gateway Airport",
"AZD","OIYY","Shahid Sadooghi Airport",
"AZI","OMAD","Al Bateen Executive Airport",
"AZL","SWTU","Sapezal",
"AZN","UTKA","Andizhan Airport",
"AZO","KAZO","Kalamazoo/Battle Creek International Airport",
"AZP","MMJC","Jorge Jim??nez Cant?? National Airport",
"AZR","DAUA","Touat-Cheikh Sidi Mohamed Belkebir Airport",
"AZS","MDCY","Saman?! El Catey International Airport",
"AZZ","FNAM","Ambriz Airport",
"BAA","AYBL","Bialla Airport",
"BAB","KBAB","Beale Air Force Base",
"BAD","KBAD","Barksdale Air Force Base",
"BAE","LFMR","Barcelonnette ??"" Saint-Pons Airport",
"BAF","KBAF","Westfield-Barnes Regional Airport",
"BAH","OBBI","Bahrain International Airport",
"BAI","MRBA","Buenos Aires Airport |Buenos Aires",
"BAK",,"metropolitan area{{ref|2|2}}",
"BAL","LTCJ","Batman Airport",
"BAM","KBAM","Battle Mountain Airport",
"BAN","FZVR","Basongo Airport",
"BAQ","SKBQ","Ernesto Cortissoz International Airport",
"BAR",,"Qionghai Bo'ao Airport",
"BAS","AGGE","Balalae Airport",
"BAT","SBBT","Barretos Airport|Chafei Amsei Airport",
"BAV","ZBOW","Baotou Airport",
"BAX","UNBB","Barnaul Airport",
"BAY","LRBM","Baia Mare Airport",
"BAZ","SWBC","Barcelos Airport",
"BBA","SCBA","Balmaceda Airport",
"BBB","KBBB","Benson Municipal Airport |Benson Municipal Airport",
"BBC","KBYY","Bay City Municipal Airport",
"BBD","KBBD","Curtis Field",
"BBG","NGTU","Butaritari Atoll Airport",
"BBH","EDBH","Stralsund??""Barth Airport",
"BBI","VEBS","Biju Patnaik International Airport",
"BBJ","EDRB","Bitburg Airport",
"BBK","FBKE","Kasane Airport",
"BBL","YLLE","Ballera Airport",
"BBM","VDBG","Battambang Airport",
"BBN","WBGZ","Bario Airport",
"BBO","HCMI","Berbera Airport",
"BBP","EGHJ","Bembridge Airport",
"BBQ","TAPH","Barbuda Codrington Airport",
"BBR","TFFB","Baillif Airport",
"BBS","EGLK","Blackbushe Airport",
"BBT","FEFT","Berb??rati Airport",
"BBU","LRBS","Aurel Vlaicu International Airport",
"BBV","DIGN","Nero-Mer Airport",
"BBW","KBBW","Broken Bow Municipal Airport",
"BBX","KLOM","Wings Field",
"BBY","FEFM","Bambari Airport",
"BBZ","FLZB","Zambezi Airport",
"BCA","MUBA","Gustavo Rizo Airport",
"BCB","KBCB","Virginia Tech Montgomery Executive Airport",
"BCD","RPVB","Bacolod??""Silay International Airport",
"BCE","KBCE","Bryce Canyon Airport",
"BCF","FEGU","Bouca Airport",
"BCH","WPEC","Baucau Airport",
"BCI","YBAR","Barcaldine Airport",
"BCL","MRBC","Barra del Colorado Airport",
"BCM","LRBC","Bac??u International Airport",
"BCN","LEBL","Barcelona??""El Prat Airport",
"BCO","HABC","Baco Airport",
"BCP","AYBC","Bambu Airport",
"BCR","SWNK","Novo Campo Airport",
"BCT","KBCT","Boca Raton Airport",
"BCX","UWUB","Beloretsk Airport",
"BCY","HABU","Bulchi Airport",
"BDA","TXKF","L.F. Wade International Airport",
"BDB","YBUD","Bundaberg Airport",
"BDC","SNBC","Barra do Corda Airport",
"BDD","YBAU","Badu Island Airport",
"BDE","KBDE","Baudette International Airport",
"BDG","KBDG","Blanding Municipal Airport",
"BDH","OIBL","Bandar Lengeh Airport",
"BDI","FSSB","Bird Island Airport",
"BDJ","WAOO","Syamsudin Noor Airport",
"BDK","DIBU","Soko Airport",
"BDL","KBDL","Bradley International Airport",
"BDN","OPTH","Talhar Airport",
"BDO","WICC","Husein Sastranegara International Airport",
"BDP","VNCG","Bhadrapur Airport",
"BDQ","VABO","Vadodara Airport"" || ""Vadodara",
"BDR","KBDR","Igor I. Sikorsky Memorial Airport",
"BDS","LIBR","Brindisi ??"" Salento Airport",
"BDT","FZFD","Gbadolite Airport",
"BDU","ENDU","Bardufoss Airport",
"BDV","FZRB","Moba Airport",
"BDW","YBDF","Bedford Downs Airport",
"BDZ","AYBG","Baindoung Airport",
"BEB","EGPL","Benbecula Airport",
"BEC","KBEC","Beech Factory Airport",
"BED","KBED","Hanscom Field|Laurence G. Hanscom Field",
"BEF","MNBL","Bluefields Airport",
"BEG","LYBE","Belgrade Nikola Tesla Airport",
"BEH","KBEH","Southwest Michigan Regional Airport",
